citr;ABiH Ut;iBiH
y;aH s;omaH
yajY;am AnuS;ak
v;qSA r;aTaH
v;izvA dv;eSAMsi
z;ikSa zacIvaH
s;am asvaran
y;at te
u s;u
suK;am r;aTam
v;E u
g;AH iva
ut;a tv;Am
pr;a u
varDantu naH
ut;a dev;ahUtiBiH
ca soma
sv:ar y;at
B;uvanAni yemire
naH deva
;apa sr;iDaH
;indrAya bqhat;e
aB;i anUSata
h;i ;asi
vid;e y;at
D;anAni jigy;uSaH
;indrasya v;ajraH
tvA vasuv;idam
h;i te
;ut te
;A viza
;it asi
ray;im n;i
v;izvAn aB;i
dev;am dev;Aya
mah;IH ;iSaH
;aDa priy;am
parj;anyaH vqSwim;An
v;qSA ;it
n;Avam ;A
s;u naH
asi ;A
dev;eByaH p;ari
t;at ;it
s;omam zrIZanti
v;AZIH anUSata
asi tv;am
jah;i m;qDaH
div;aH ;A
dev;aH dev;asya
tvA ray;im
pur;A nUn;am
naH v;izvA
naH soma
agn;iH n;a
mah;e t;ane
s;a h;i
dev;aH savit;A
rocan;e div;aH
pr;a t;u
s;aKAyaH ;A
suvAn;AsaH ;indavaH
v;asu ut;a
p;Antam ;A
h;i s;aH
v;qSA m;adaH
n;i barh;iSi
rohayaH div;i
mqg;aH n;a
zukr;eZa zoc;iSA
m;adAya G;qSvaye
y;A te
;A DAvata
;At ;it
sapt;a s;inDavaH
g;omantam azv;inam
tv;am asi
m;adaH v;areZyaH
cit h;i
;indram v;qSaZam
;ava naH
;ApaH aB;i
aB;i v;izvAH
soma vizv;ataH
Bava m;aMhiSWaH
samudr;asya ;aDi
arvAv;ati sunvir;e
asy;a pItv;A
iva aB;i
janit;A pqTivy;AH
t;am Imahe
im;am naH
tir;aH pav;itram
naH ray;im
pAvak;aH ucyate
te sat;aH
;ataH tvA
t;am asya
s;UryaH agn;iH
pipy;uSIm ;iSam
;A aruhat
v;qSA h;i
;akSiti zr;avaH
div;aH p;ari
ca ;A
v;i ;ojasA
g;omat y;avamat
ut;a dy;Am
y;aH asm;An
dAz;uSaH gqh;e
sut;aH s;omaH
y;asya vA
D;iyam manoy;ujam
rocan;A div;aH
;A y;e
man;O ;aDi
;aDi sn;unA
;indraH ;iti
te m;adAH
pr;a gAyata
sapt;a h;otAraH
ant;ar pav;itre
mah;at t;at
dev;An ;A
;it ;arTam
mitr;aH aryam;A
z;uciH pAvak;aH
ray;im g;omantam
s;Uryam arocayat
t;am ;A
p;UrvAm ;anu
v;qSZyam z;avaH
h;i tvA
p;arSi r;ADaH
h;otA iva
tvA vay;am
p;ari naH
s;UryaH n;a
vqtr;Aya h;antave
t;am gIrB;iH
s;am asya
;it p;ari
;upa yanti
s;a asya
barh;iH ;A
;A div;aH
p;ari y;aH
naH yajY;am
