s;Uryam rohayaH div;i
s;a h;i sma
;it varDantu naH
DukS;asva pipy;uSIm ;iSam
;ojasA t;am tvA
z;uciH pAvak;aH ucyate
t;am u tvA
m;aDu ;A naH
y;aH te m;adaH
v;izvasya ;IzAnaH ;ojasA
ca ;A ca
;ApaH n;a prav;atA
s;UryaH iva upad;qk
ray;im g;omantam azv;inam
n;i barh;iSi priy;e
y;e s;omAsaH parAv;ati
u s;u pr;a
pit;uH n;a putr;aH
v;izvA ca soma
te m;adaH v;areZyaH
naH soma z;am
asy;a pItv;A m;adAnAm
v;qSA ;it asi
;A te d;akSam
aB;i vats;am n;a
;azvaH n;a nikt;aH
p;arSi r;ADaH maG;onAm
indo p;ari srava
;indrAya indo p;ari
janit;A div;aH janit;A
;A s;u naH
;indram s;omasya pIt;aye
varDantu naH g;iraH
k;am cit atr;iZam
n;a prav;atA yat;IH
;A s;Uryam rohayaH
s;omAsaH parAv;ati y;e
s;a tv;am naH
makS;u Diy;AvasuH jagamyAt
DqSZo ;A ruja
s;UryaH n;a razm;iBiH
v;izve dev;AH amatsata
vay;am te asy;a
;utsaH deva hiraZy;ayaH
ca soma s;OBagA
sadaH ut;a naH
ray;im naH citr;am
im;A v;izvA B;uvanAni
ugr;aH riZ;an ap;aH
y;aH im;e r;odasI
pr;a t;u drava
naH indo Ut;iBiH
div;aH janit;A pqTivy;AH
im;e r;odasI mah;I
te asy;a vqtrahan
s;omaH indriy;aH r;asaH
v;izvA B;uvanAni yemire
;upa u s;u
;indram vqtr;Aya h;antave
vats;am n;a mAt;araH
prAt;ar makS;u Diy;AvasuH
ut;a naH g;omatIH
v;izvAH ;apa dv;iSaH
vats;am saMz;izvarIH iva
t;An ;upa yAta
s;omam ;indrAya p;Atave
;A Bara tv;am
;A Bara ray;im
samudr;asya ;aDi viSw;api
v;izvA rUp;AZi Aviz;an
stot;qByaH ;A Bara
;indrasya saKy;am juSAZ;aH
pUS;A ray;iH B;agaH
naH g;omatIH ;iSaH
vAjay;antaH r;aTAH iva
parAv;ati y;e arvAv;ati
;A t;u naH
vay;am v;izvA D;anAni
;indavaH tir;aH pav;itram
dev;AH tr;ayaH ekAdaz;AsaH
parj;anyaH vqSwim;An iva
;aram ;indrasya D;Amne
;A Bara svarv;idam
aB;i pr;a gAyata
y;e arvAv;ati sunvir;e
razm;iBiH z;arDan t;amAMsi
v;izvam sv:ar dqz;e
;azvAvat g;omat y;avamat
;upa yAta p;ibaDyE
u s;u jAt;am
s;aKA iva s;aKye
v;izvA D;anAni jigy;uSaH
z;arDan t;amAMsi jiGnase
t;am ;it varDantu
asy;a ;it ;indraH
samudr;am iva s;inDavaH
